settlement_id,settlement_date,bank_utr,payment_id,order_id,gross_amount,fee,gst_on_fee,refund_deduction,net_amount,payment_method,captured_date,settlement_status
set_gZQhCaMh9935fh7T,2025-08-08,3646280550774065,pay_SKZkPLA0KK5FjKAA,ord_sSZuI09r4R6ENyry,1815.83,36.32,6.54,0.00,1772.97,amex,2025-08-05,settled
set_gZQhCaMh9935fh7T,2025-08-08,3646280550774065,pay_rZKrCZA43zDkaLdR,ord_lAgPHlhgvNW3BIFq,65434.19,1308.68,235.56,0.00,63889.95,upi,2025-08-06,settled
set_gZQhCaMh9935fh7T,2025-08-08,3646280550774065,pay_CsmDvjPvhLJzF6N0,ord_e3Uji4PJyuGxYx1h,8573.64,171.47,30.86,0.00,8371.31,upi,2025-08-06,settled
set_bUE7JjtAC63UCmTB,2025-08-08,9131117861902547,pay_raBgcoTRGqZ0dbIR,ord_zZvdIg6dsbnAGDnl,4804.29,96.09,17.30,0.00,4690.90,upi,2025-08-06,settled
set_bUE7JjtAC63UCmTB,2025-08-08,9131117861902547,pay_rsVAUcMabaJNG82w,ord_TVKReNK6QlGORFif,287.69,5.75,1.03,0.00,280.91,upi,2025-08-06,settled
set_bUE7JjtAC63UCmTB,2025-08-08,9131117861902547,pay_HnxQs7S6sYRyHucc,ord_2dE3sf3xqmHuK98y,4668.65,93.37,16.81,0.00,4558.47,upi,2025-08-06,settled
set_bUE7JjtAC63UCmTB,2025-08-08,9131117861902547,pay_oYW63uaqwlL8y2yd,ord_P20483bs4EZ5fBlr,1827.70,36.55,6.58,0.00,1784.57,upi,2025-08-06,settled
set_bUE7JjtAC63UCmTB,2025-08-08,9131117861902547,pay_1GiBF0mjKrCKibQQ,ord_PcCY6nJ6XS2LwsWh,8683.72,173.67,31.26,0.00,8478.79,amex,2025-08-06,settled
set_qDrKBsWOy5rFKAFI,2025-08-08,7595002601515325,pay_vKQaUMzjbvAWShuX,ord_wcHgTApXGW1LQQ7V,21862.21,437.24,78.70,0.00,21346.27,upi,2025-08-06,settled
set_qDrKBsWOy5rFKAFI,2025-08-08,7595002601515325,pay_vZjRcMarDA7kO2mT,ord_ytO3K3uaDlH0Evl0,219.39,4.39,0.79,0.00,214.21,upi,2025-08-06,settled
set_qDrKBsWOy5rFKAFI,2025-08-08,7595002601515325,pay_tQFtOwlzCwdEpDeo,ord_bgPxL61OsL8QRut4,671.50,13.43,2.42,0.00,655.65,amex,2025-08-06,settled
set_qDrKBsWOy5rFKAFI,2025-08-08,7595002601515325,pay_ZFNf4QNDtFu07VZ3,ord_s6XkoJvo779j9nth,4889.59,97.79,17.60,0.00,4774.20,upi,2025-08-05,settled
set_qDrKBsWOy5rFKAFI,2025-08-08,7595002601515325,pay_0I2uZ53wWSrgyuj6,ord_gqKQQJKRSwW6semc,4858.30,97.17,17.49,0.00,4743.64,upi,2025-08-06,settled
set_7oqQnmBR7evr0ci5,2025-08-08,9503100649340391,pay_JdrjGwTCc0iB8Wua,ord_kmUPGOVDUx6wmvmj,505.16,10.10,1.82,0.00,493.24,upi,2025-08-05,settled
set_7oqQnmBR7evr0ci5,2025-08-08,9503100649340391,pay_UCrb4kPBdbNydx4h,ord_C2QJqfpr5bc0GGlw,6229.83,124.60,22.43,0.00,6082.80,upi,2025-08-05,settled
set_7oqQnmBR7evr0ci5,2025-08-08,9503100649340391,pay_Ita3djRFBfffUfUl,ord_IJ6x7oK8r5wNkKTq,1311.23,26.22,4.72,0.00,1280.29,upi,2025-08-06,settled
set_7oqQnmBR7evr0ci5,2025-08-08,9503100649340391,pay_zYujMqKfm0u9B0xn,ord_tVyTZjKMm6mUlBsx,26602.57,532.05,95.77,0.00,25974.75,upi,2025-08-05,settled
set_7oqQnmBR7evr0ci5,2025-08-08,9503100649340391,pay_00njIHcQ1arE1qbZ,ord_MZzoPlZHLPzciboC,29245.24,584.90,105.28,0.00,28555.06,card,2025-08-06,settled
set_AV62afrvDhm479Um,2025-08-08,2855359520561006,pay_M0vYK5p2d6jKz0E9,ord_lqkwKcj5FSWXEaiS,4391.19,87.82,15.81,0.00,4287.56,upi,2025-08-06,settled
set_AV62afrvDhm479Um,2025-08-08,2855359520561006,pay_y5eiZU2Mxcc4Aazl,ord_X8y7xSRsVbPdMh5r,4740.13,94.80,17.06,0.00,4628.27,card,2025-08-06,settled
set_AV62afrvDhm479Um,2025-08-08,2855359520561006,pay_KkJMrh7O2pOUqnqH,ord_ttMMIcpNIH4Mm2Sq,850.08,17.00,3.06,0.00,830.02,upi,2025-08-06,settled
set_AV62afrvDhm479Um,2025-08-08,2855359520561006,pay_Wj8b9lDVhLW9g7Qi,ord_WI3bzXbutXbYMXyF,289.59,5.79,1.04,0.00,282.76,card,2025-08-06,settled
set_AV62afrvDhm479Um,2025-08-08,2855359520561006,pay_fwoPDJ2qtchZf5XX,ord_8v9zB5tUFZrqxXd0,17131.53,342.63,61.67,0.00,16727.23,amex,2025-08-06,settled
set_7jjnYa4zDhsdCrOd,2025-08-08,4233944953006776,pay_npqVoju3DX02ksI0,ord_XhdJrnSppQlIzGsH,737.31,14.75,2.65,0.00,719.91,upi,2025-08-05,settled
set_7jjnYa4zDhsdCrOd,2025-08-08,4233944953006776,pay_fUMbCd68ZSbCBnBn,ord_FmxsFJsntTGATWQI,49236.06,984.72,177.25,0.00,48074.09,amex,2025-08-06,settled
set_7jjnYa4zDhsdCrOd,2025-08-08,4233944953006776,pay_11cYglZK1SSguB0c,ord_HhjSuYYAy2cDDzoU,2243.56,44.87,8.08,0.00,2190.61,upi,2025-08-05,settled
set_7jjnYa4zDhsdCrOd,2025-08-08,4233944953006776,pay_go76LonFZA6qs2XG,ord_vyMTZrHfQXDeDkoS,211.48,4.23,0.76,0.00,206.49,upi,2025-08-06,settled
set_7jjnYa4zDhsdCrOd,2025-08-08,4233944953006776,pay_xZIig0OHDuK5M3QQ,ord_Zu3OGOOZM3EkDbNl,436.13,8.72,1.57,0.00,425.84,upi,2025-08-06,settled
set_v0UAJVAe9TIYRcPk,2025-08-08,2923345110090605,pay_UknLP9q23FAuy5IK,ord_tVmCzTTyS1DS7IQX,1400.49,28.01,5.04,0.00,1367.44,upi,2025-08-06,settled
set_C7Op2x2IWgEccBkA,2025-08-11,7115238023621921,pay_2Nkk6JNWAiQbz5Dl,ord_A9NTv6y4fjjFcJQ3,1149.49,22.99,4.14,0.00,1122.36,amex,2025-08-07,settled
set_C7Op2x2IWgEccBkA,2025-08-11,7115238023621921,pay_obIuPT03TVNvPury,ord_yVEZt53dIsGeNVdw,1462.33,29.25,5.26,0.00,1427.82,upi,2025-08-07,settled
set_C7Op2x2IWgEccBkA,2025-08-11,7115238023621921,pay_wwRBPYr03hH2j9PW,ord_wthxJ5BhnqAUvXtT,3021.71,90.65,16.32,0.00,2914.74,intl_card,2025-08-07,settled
set_C7Op2x2IWgEccBkA,2025-08-11,7115238023621921,pay_6YJMHaXylmgREXTy,ord_z7an1RsRPfaz8FGx,4174.40,83.49,15.03,0.00,4075.88,upi,2025-08-07,settled
set_C7Op2x2IWgEccBkA,2025-08-11,7115238023621921,pay_81pKu6LgL7iHXY76,ord_zxiq70srxZ4HIBVq,4052.09,81.04,14.59,0.00,3956.46,upi,2025-08-06,settled
set_V4wg4sqjavfNXiFk,2025-08-11,5977216880053789,pay_jZLVlk3lyktxtPTi,ord_WsfoaHJQzuGKZV4x,6480.24,129.60,23.33,0.00,6327.31,upi,2025-08-07,settled
set_V4wg4sqjavfNXiFk,2025-08-11,5977216880053789,pay_d8icelXwAHPKg1Pl,ord_5Yl9noMkqyXiSZXG,116910.20,2338.20,420.88,0.00,114151.12,upi,2025-08-07,settled
set_V4wg4sqjavfNXiFk,2025-08-11,5977216880053789,pay_PUlu8lJHAAESoocY,ord_ohZLWumvMi5brH8l,14802.45,296.05,53.29,0.00,14453.11,upi,2025-08-07,settled
set_V4wg4sqjavfNXiFk,2025-08-11,5977216880053789,pay_0s67SoOCR6ESBgjT,ord_DqMwt5o775UKjjmt,33905.72,678.11,122.06,0.00,33105.55,upi,2025-08-06,settled
set_V4wg4sqjavfNXiFk,2025-08-11,5977216880053789,pay_30dClaUpSuprSAmr,ord_4dzvdm4BNJ6lawOH,734.57,14.69,2.64,0.00,717.24,card,2025-08-07,settled
set_1E8lJ4dKfU21o9Is,2025-08-11,7200283948232204,pay_JgOzB59a6G6imH66,ord_B2isTsjSspJxHl1P,2497.45,49.95,8.99,0.00,2438.51,card,2025-08-07,settled
set_1E8lJ4dKfU21o9Is,2025-08-11,7200283948232204,pay_zh8yo1YIAdWmAmZ6,ord_w3zeQSzElIc0Jwfe,7105.47,142.11,25.58,0.00,6937.78,card,2025-08-07,settled
set_1E8lJ4dKfU21o9Is,2025-08-11,7200283948232204,pay_aUduot7S0TxTPsT7,ord_KXth3FkmdB6K3JGM,1387.95,27.76,5.00,0.00,1355.19,upi,2025-08-07,settled
set_1E8lJ4dKfU21o9Is,2025-08-11,7200283948232204,pay_odm0GDeMKe8DZuvL,ord_Is9f9lgvbISm6Csq,1678.87,33.58,6.04,0.00,1639.25,upi,2025-08-07,settled
set_1E8lJ4dKfU21o9Is,2025-08-11,7200283948232204,pay_CrzukskfLcLty0T0,ord_BNaQNpUcpvjV21Jv,935.90,18.72,3.37,0.00,913.81,upi,2025-08-07,settled
set_FR9ot51uE87jsrpt,2025-08-11,0203042322775213,pay_RlweBuh1wTE8AzZE,ord_yHatIUHvVed8lnI6,995.12,19.90,3.58,0.00,971.64,upi,2025-08-07,settled
set_FR9ot51uE87jsrpt,2025-08-11,0203042322775213,pay_uEdC4iwWdOo1kEVL,ord_vpF1VqyMGOTSvdq5,410.28,8.21,1.48,0.00,400.59,upi,2025-08-07,settled
set_FR9ot51uE87jsrpt,2025-08-11,0203042322775213,pay_PlExfVhEtF3cQxYW,ord_xb1bHeoGZiAFlmSf,484.11,14.52,2.61,0.00,466.98,intl_card,2025-08-07,settled
set_FR9ot51uE87jsrpt,2025-08-11,0203042322775213,pay_lHYoyARk3xsTTh99,ord_3oNN2a2XkcHDnjmd,9875.81,296.27,53.33,0.00,9526.21,intl_card,2025-08-07,settled
set_FR9ot51uE87jsrpt,2025-08-11,0203042322775213,pay_P5sJFhqkYJ6tOXyi,ord_tk1bfE8Q2jLHvL0u,250.23,5.00,0.90,0.00,244.33,upi,2025-08-07,settled
set_XM3vfZ2ZYA9Dsk5b,2025-08-11,7569198321029161,pay_qR8uohAYJrF3Rbl1,ord_NzHeAVzDI2wf7i7s,1693.21,33.86,6.09,0.00,1653.26,card,2025-08-06,settled
set_XM3vfZ2ZYA9Dsk5b,2025-08-11,7569198321029161,pay_sVZM5ldQB43v0ef7,ord_GqkKGLJmUcozw6pE,8205.53,164.11,29.54,0.00,8011.88,card,2025-08-07,settled
set_XM3vfZ2ZYA9Dsk5b,2025-08-11,7569198321029161,pay_i9CK8slmhsq2RNFq,ord_lVfd51dVL5K9JsQB,823.45,16.47,2.96,0.00,804.02,upi,2025-08-07,settled
set_XM3vfZ2ZYA9Dsk5b,2025-08-11,7569198321029161,pay_4yXFhiiVxOoGoC9x,ord_EwuCGxfDHPEpuw5M,10288.39,205.77,37.04,0.00,10045.58,upi,2025-08-07,settled
set_XM3vfZ2ZYA9Dsk5b,2025-08-11,7569198321029161,pay_pJBO4qd7WRdrw1qq,ord_1hIlnTd3HoWmsdu0,10199.17,203.98,36.72,0.00,9958.47,amex,2025-08-07,settled
set_dXl1JugHwQ0tyEYK,2025-08-11,9131670805685667,pay_InMbDYEmVPQ2eYZ2,ord_CG0lwAeALFo2Zyvq,294.01,5.88,1.06,0.00,287.07,card,2025-08-07,settled
set_dXl1JugHwQ0tyEYK,2025-08-11,9131670805685667,pay_LUvXAOAuEhBXy4A4,ord_8ymnB5zQLrTVA1jY,265.27,5.31,0.96,0.00,259.00,card,2025-08-06,settled
set_dXl1JugHwQ0tyEYK,2025-08-11,9131670805685667,pay_gD5DOYOzWIgnoazm,ord_ix3byoTdJDG3VsfK,778.99,23.37,4.21,0.00,751.41,intl_card,2025-08-07,settled
set_dXl1JugHwQ0tyEYK,2025-08-11,9131670805685667,pay_kANCHKxOBWBQJM6u,ord_g7yxIPn2iG00RvQ4,6376.00,127.52,22.95,0.00,6225.53,upi,2025-08-06,settled
set_dXl1JugHwQ0tyEYK,2025-08-11,9131670805685667,pay_jrW1jz8CmhC1c465,ord_m4Ze4nW3TEbp9XaK,1401.51,28.03,5.05,0.00,1368.43,card,2025-08-07,settled
set_72COYJjxWDkwwSC7,2025-08-11,6349339650496273,pay_pPQn7CRilq5NFinH,ord_8K2Frn2bQPEPGAXt,283.78,5.68,1.02,0.00,277.08,upi,2025-08-06,settled
set_72COYJjxWDkwwSC7,2025-08-11,6349339650496273,pay_hYngR0RU8JKxXHmD,ord_JNr2xcrgSNriKCOC,306.89,6.14,1.11,0.00,299.64,amex,2025-08-06,settled
set_72COYJjxWDkwwSC7,2025-08-11,6349339650496273,pay_rXOyGaIhBAbnu3ZI,ord_5PXdrQR8HsZAmNWx,9072.79,181.46,32.66,0.00,8858.67,upi,2025-08-06,settled
set_72COYJjxWDkwwSC7,2025-08-11,6349339650496273,pay_V9WWE7qEOt6ayTDg,ord_9Q3UXJt0uxnx8Anz,10144.91,202.90,36.52,0.00,9905.49,upi,2025-08-07,settled
set_72COYJjxWDkwwSC7,2025-08-11,6349339650496273,pay_jXLSMkTjDXQuNqT6,ord_otLlMAZdNkF7JDJJ,694.01,13.88,2.50,0.00,677.63,upi,2025-08-07,settled
set_IKI2HSJNZIzVorQJ,2025-08-11,8808799196234199,pay_4kTcjtv5ngauSska,ord_bhS8ygpi5G2Q3uJR,28378.53,851.36,153.24,0.00,27373.93,intl_card,2025-08-07,settled
set_IKI2HSJNZIzVorQJ,2025-08-11,8808799196234199,pay_YHO2semiY7Xdv89r,ord_LR3h8GNfrWkb7LVX,2248.03,44.96,8.09,0.00,2194.98,card,2025-08-07,settled
set_XSbG5A1ROwkHLHyD,2025-08-12,4893326145430796,pay_0xFQ1xGLBWeN0Irr,ord_bOfRJJlyoZUHpdko,40479.10,809.58,145.72,0.00,39523.80,upi,2025-08-10,settled
set_XSbG5A1ROwkHLHyD,2025-08-12,4893326145430796,pay_NqN9ZQLiIOKYx7X1,ord_0ypjYAONyOACExh3,2314.35,46.29,8.33,0.00,2259.73,card,2025-08-10,settled
set_XSbG5A1ROwkHLHyD,2025-08-12,4893326145430796,pay_oQb4mrNhUIIqBFqA,ord_LjY6O1QmS4rsNe9i,1042.95,20.86,3.75,0.00,1018.34,upi,2025-08-09,settled
set_XSbG5A1ROwkHLHyD,2025-08-12,4893326145430796,pay_aLvKRI7eEkJlxdy1,ord_0Avn4Yk3gLazPS7o,172458.41,3449.17,620.85,0.00,168388.39,upi,2025-08-10,settled
set_XSbG5A1ROwkHLHyD,2025-08-12,4893326145430796,pay_UQV3D5UjlEiNBsYR,ord_UfwbEmc71n5alZ4E,387.70,7.75,1.40,0.00,378.55,upi,2025-08-09,settled
set_XSbG5A1ROwkHLHyD,2025-08-12,4893326145430796,pay_PpLv9sJHbcME2f77,ord_PC07niVM9WSTpBmK,1714.49,34.29,6.17,0.00,1674.03,upi,2025-08-09,settled
set_NvO7qBhqH6y5IHWi,2025-08-12,1845235426874470,pay_YSd5bMWOxUTmxIRt,ord_LBxzgUjowepgicj3,293.53,5.87,1.06,0.00,286.60,upi,2025-08-08,settled
set_NvO7qBhqH6y5IHWi,2025-08-12,1845235426874470,pay_CdrtIeBoawWKcIjA,ord_4ShIeT49lfqpCCI1,20013.54,400.27,72.05,0.00,19541.22,upi,2025-08-07,settled
set_NvO7qBhqH6y5IHWi,2025-08-12,1845235426874470,pay_5zACrLf8nx62x6tR,ord_DYFfvIIieoMmtPEw,235.90,4.72,0.85,0.00,230.33,upi,2025-08-09,settled
set_NvO7qBhqH6y5IHWi,2025-08-12,1845235426874470,pay_bTekG58rjejhR9wP,ord_EnDJiS9HvlxNgbb1,1130.56,22.61,4.07,0.00,1103.88,upi,2025-08-10,settled
set_NvO7qBhqH6y5IHWi,2025-08-12,1845235426874470,pay_4fCt3yARrpIZ2SHu,ord_KRWFLvPdP2oIHjC1,7448.17,148.96,26.81,0.00,7272.40,amex,2025-08-10,settled
set_NvO7qBhqH6y5IHWi,2025-08-12,1845235426874470,pay_8PXIJhr2xE1GmiVP,ord_Ot2WVf4olbZjzHhw,296.63,5.93,1.07,0.00,289.63,upi,2025-08-10,settled
set_GM715pqZVuJ4cIaq,2025-08-12,6337014005278105,pay_AEqbr4K4y8rSeK3n,ord_6rEKGD2iBYvFQJo2,4878.17,97.56,17.56,0.00,4763.05,upi,2025-08-08,settled
set_GM715pqZVuJ4cIaq,2025-08-12,6337014005278105,pay_VsurDffI7MghdUh0,ord_XdU7nSKpLzlBM4XM,364.54,7.29,1.31,0.00,355.94,card,2025-08-08,settled
set_GM715pqZVuJ4cIaq,2025-08-12,6337014005278105,pay_EgXEtrPnYc8l88Yu,ord_UWNug9z8Apb4mm7q,276.77,5.54,1.00,0.00,270.23,upi,2025-08-09,settled
set_GM715pqZVuJ4cIaq,2025-08-12,6337014005278105,pay_UabQwX2h811bMxDh,ord_RryWmodZL97yBWCy,314.53,6.29,1.13,0.00,307.11,card,2025-08-09,settled
set_GM715pqZVuJ4cIaq,2025-08-12,6337014005278105,pay_jIFYAZWTbf6UpgYU,ord_PQOzzWwHE7eA170X,2574.87,51.50,9.27,0.00,2514.10,upi,2025-08-09,settled
set_GM715pqZVuJ4cIaq,2025-08-12,6337014005278105,pay_v3V9KdRAXbgyy1SD,ord_TPHGKIPFTZKmUBDY,2628.31,52.57,9.46,0.00,2566.28,card,2025-08-09,settled
set_Ug9C5dqtELc0MalO,2025-08-12,9136817203136955,pay_EXPGKPSEfl5AxzMZ,ord_0EE1Z6jjCFojTQpT,35211.92,1056.36,190.14,0.00,33965.42,intl_card,2025-08-08,settled
set_Ug9C5dqtELc0MalO,2025-08-12,9136817203136955,pay_hafOTdCDBPM2S6JN,ord_KSF0TYeoFhL2WbQc,14363.61,287.27,51.71,0.00,14024.63,amex,2025-08-07,settled
