txn_date,txn_type,narration,utr,amount,balance_after,branch_code
2025-08-12 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 0203042322775213,0203042322775213,11609.75,1516501.75,KKBK0004567
2025-08-12 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.7569198321029161,7569198321029161,30473.21,1546974.96,ICICI0005678
2025-08-12 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.9131670805685667,9131670805685667,8891.44,1555866.40,KKBK0004567
2025-08-12 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:6349339650496273,6349339650496273,20018.51,1575884.91,SBIN0009012
2025-08-12 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 8808799196234199,8808799196234199,29568.91,1605453.82,KKBK0004567
2025-08-13 00:00:00,credit,NEFT/CR/RAZORPAY/4893326145430796,4893326145430796,213242.84,1818696.66,ICICI0005678
2025-08-13 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:1845235426874470,1845235426874470,28724.06,1847420.72,HDFC0001234
2025-08-13 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:6337014005278105,6337014005278105,10776.71,1858197.43,KKBK0004567
2025-08-13 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 9136817203136955,9136817203136955,57017.48,1915214.91,KKBK0004567
2025-08-13 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.3222739389920457,3222739389920457,7109.51,1922324.42,SBIN0009012
2025-08-13 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.7182360107126158,7182360107126158,63936.40,1986260.82,SBIN0009012
2025-08-13 00:00:00,credit,NEFT/CR/RAZORPAY/4223322280194425,4223322280194425,35713.07,2021973.89,SBIN0009012
2025-08-13 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.0637311804674130,0637311804674130,202434.54,2224408.43,SBIN0009012
2025-08-13 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:7561547055491215,7561547055491215,50899.16,2275307.59,HDFC0001234
2025-08-13 00:00:00,credit,NEFT/CR/RAZORPAY/2070204262019712,2070204262019712,64897.98,2340205.57,KKBK0004567
2025-08-13 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 7731922760759889,7731922760759889,47852.08,2388057.65,KKBK0004567
2025-08-13 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 9523120219150576,9523120219150576,237084.68,2625142.33,KKBK0004567
2025-08-13 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.7416365604500635,7416365604500635,35025.87,2660168.20,SBIN0009012
2025-08-13 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 0597025512827636,0597025512827636,89266.80,2749435.00,SBIN0009012
2025-08-13 00:00:00,credit,NEFT/CR/RAZORPAY/4344149169993934,4344149169993934,33125.29,2782560.29,SBIN0009012
2025-08-13 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:3988941321097202,3988941321097202,3130.14,2785690.43,KKBK0004567
2025-08-14 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:1388503423622033,1388503423622033,19548.18,2805238.61,SBIN0009012
2025-08-14 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 5294690217741743,5294690217741743,64224.64,2869463.25,SBIN0009012
2025-08-14 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 2332829302025691,2332829302025691,23711.85,2893175.10,SBIN0009012
2025-08-14 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:9553024530123984,9553024530123984,94497.05,2987672.15,KKBK0004567
2025-08-14 00:00:00,credit,NEFT/CR/RAZORPAY/2224050764871775,2224050764871775,34161.82,3021833.97,SBIN0009012
2025-08-14 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.1225909566844823,1225909566844823,76121.33,3097955.30,KKBK0004567
2025-08-14 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 9017074039251999,9017074039251999,15330.27,3113285.57,KKBK0004567
2025-08-14 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.2216265496330833,2216265496330833,22843.68,3136129.25,KKBK0004567
2025-08-14 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:8519537749266329,8519537749266329,18424.75,3154554.00,KKBK0004567
2025-08-15 15:23:32,credit,UPI DR: SWIGGY ORDER,7609606472452573,7040.24,3161594.24,KKBK0004567
2025-08-16 12:14:41,debit,NEFT DR: OFFICE RENT AUGUST,9904600823696269,20615.14,3140979.10,HDFC0001234
2025-08-18 00:00:00,credit,NEFT/CR/RAZORPAY/8085133138004983,8085133138004983,200646.35,3341625.45,SBIN0009012
2025-08-18 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 8764019185488064,8764019185488064,123411.75,3465037.20,SBIN0009012
2025-08-18 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:6464196234219262,6464196234219262,44930.00,3509967.20,KKBK0004567
2025-08-18 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 7972699994981283,7972699994981283,35729.41,3545696.61,HDFC0001234
2025-08-18 00:00:00,credit,NEFT/CR/RAZORPAY/0505243838058269,0505243838058269,5403.85,3551100.46,HDFC0001234
2025-08-18 00:00:00,credit,NEFT/CR/RAZORPAY/6337618518626713,6337618518626713,4124.58,3555225.04,KKBK0004567
2025-08-18 00:00:00,credit,NEFT/CR/RAZORPAY/7918750677610659,7918750677610659,34623.02,3589848.06,HDFC0001234
2025-08-18 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 9838457202665686,9838457202665686,21679.78,3611527.84,SBIN0009012
2025-08-18 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:4299074729669417,4299074729669417,332.81,3611860.65,HDFC0001234
2025-08-18 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 7972699994981283,7972699994981283,144.46,3612005.11,HDFC0001234
2025-08-19 00:00:00,credit,NEFT/CR/RAZORPAY/0262706648900824,0262706648900824,22923.01,3634928.12,ICICI0005678
2025-08-19 00:00:00,credit,NEFT/CR/RAZORPAY/1856302750003056,1856302750003056,48539.52,3683467.64,ICICI0005678
2025-08-19 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 4679087018726001,4679087018726001,43289.77,3726757.41,ICICI0005678
2025-08-19 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 6524062215599672,6524062215599672,67018.57,3793775.98,SBIN0009012
2025-08-19 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.5593965213835071,5593965213835071,14802.98,3808578.96,HDFC0001234
2025-08-19 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 2772648839585585,2772648839585585,222370.01,4030948.97,ICICI0005678
2025-08-20 00:00:00,credit,NEFT/CR/RAZORPAY/6645099990010898,6645099990010898,109337.05,4140286.02,SBIN0009012
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 8849979572857595,8849979572857595,296392.39,4436678.41,SBIN0009012
2025-08-20 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:3971705984451436,3971705984451436,22133.95,4458812.36,ICICI0005678
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 7814590099217790,7814590099217790,17953.35,4476765.71,HDFC0001234
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 5326011939103829,5326011939103829,19402.32,4496168.03,KKBK0004567
2025-08-20 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.4373615873662713,4373615873662713,19835.43,4516003.46,ICICI0005678
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 7315663979255116,7315663979255116,16399.19,4532402.65,KKBK0004567
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 4281644161019753,4281644161019753,120263.88,4652666.53,SBIN0009012
2025-08-20 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.2814447189395309,2814447189395309,117009.05,4769675.58,HDFC0001234
2025-08-20 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.4551358727174306,4551358727174306,30036.36,4799711.94,KKBK0004567
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 8775833364770413,8775833364770413,244401.40,5044113.34,SBIN0009012
2025-08-20 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:2319057720441007,2319057720441007,27892.04,5072005.38,ICICI0005678
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 8709872649632251,8709872649632251,17523.94,5089529.32,ICICI0005678
2025-08-20 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 6307028672020095,6307028672020095,63431.93,5152961.25,SBIN0009012
2025-08-20 00:00:00,credit,NEFT/CR/RAZORPAY/9007397130722113,9007397130722113,85720.74,5238681.99,KKBK0004567
2025-08-20 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:1928170744360234,1928170744360234,30554.76,5269236.75,SBIN0009012
2025-08-20 00:00:00,credit,NEFT/CR/RAZORPAY/4772690326551327,4772690326551327,14275.88,5283512.63,SBIN0009012
2025-08-20 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:5891268649864786,5891268649864786,4013.10,5287525.73,ICICI0005678
2025-08-20 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.9190749921640069,9190749921640069,149509.95,5437035.68,SBIN0009012
2025-08-20 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.0821398654622021,0821398654622021,194661.03,5631696.71,SBIN0009012
2025-08-20 00:00:00,credit,NEFT/CR/RAZORPAY/6739190088991141,6739190088991141,5521.54,5637218.25,HDFC0001234
2025-08-21 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 4203401535346607,4203401535346607,140155.40,5777373.65,HDFC0001234
2025-08-21 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:8182238794026208,8182238794026208,45432.95,5822806.60,KKBK0004567
2025-08-21 00:00:00,credit,NEFT CR: Razorpay Solutions Pvt Ltd REF:9182851816125590,9182851816125590,46449.05,5869255.65,KKBK0004567
2025-08-21 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.2329615120485076,2329615120485076,115791.39,5985047.04,HDFC0001234
2025-08-21 00:00:00,credit,NEFT-CR RAZORPAY SETTLEMENT UTR 6019153057347243,6019153057347243,222941.34,6207988.38,KKBK0004567
2025-08-21 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.6562241976878494,6562241976878494,53562.93,6261551.31,SBIN0009012
2025-08-21 00:00:00,credit,Razorpay Settlement - NEFT Credit - Ref No.3404668212156495,3404668212156495,15934.48,6277485.79,SBIN0009012
